Yard_1,Yard_2,Yard_3,Yard_4,Yard_5,Yard_6,Yard_7,Yard_8,Yard_9,Yard_10,Yard_11,Yard_12,Yard_13,Yard_14,Yard_15
4169,4257,4214,3615,3741,3652,3384,3452,3337,3166,3121,3069,2937,2913,2838
3506,3578,3504,3070,3132,3043,2813,2866,2806,2710,2585,2538,2479,2435,2336
4450,4517,4502,3880,3972,3887,3558,3600,3594,3378,3302,3339,3054,3102,3007
4045,4150,4040,3588,3584,3560,3237,3383,3269,3025,2985,2992,2845,2896,2785
4717,4799,4731,4112,4173,4122,3791,3869,3766,3587,3537,3475,3263,3313,3204
4913,4980,4871,4222,4346,4318,3911,3960,3855,3697,3628,3606,3385,3425,3328
4545,4719,4610,3945,4009,4043,3669,3633,3606,3481,3385,3354,3244,3209,3151
4806,4812,4734,4183,4258,4171,3832,3952,3800,3625,3646,3561,3269,3307,3191
5109,5326,5161,4565,4610,4540,4188,4190,4133,3924,3879,3807,3619,3672,3577
5159,5202,5115,4484,4558,4532,4097,4139,4103,3851,3807,3792,3589,3601,3495
5350,5455,5283,4718,4781,4689,4324,4393,4281,4044,3976,3922,3756,3774,3611
4804,4955,4796,4179,4297,4254,3862,4000,3868,3619,3625,3510,3354,3346,3234
4585,4722,4490,4082,4090,4073,3628,3721,3609,3454,3338,3347,3149,3161,3120
3799,3900,3800,3284,3337,3363,3079,3101,3033,2830,2833,2733,2642,2640,2553
4834,4992,4856,4251,4279,4233,3837,3930,3811,3688,3621,3583,3343,3426,3264
4396,4517,4460,3884,3908,3904,3530,3617,3578,3401,3347,3231,3105,3126,2895
5119,5347,5153,4494,4508,4504,4049,4169,4141,3872,3863,3757,3561,3624,3485
5340,5510,5350,4688,4766,4686,4203,4334,4249,3987,3974,3893,3652,3673,3551
4961,5136,4977,4391,4366,4377,3960,4032,4008,3763,3720,3649,3443,3516,3338
5188,5360,5185,4586,4585,4599,4160,4194,4141,3975,3866,3827,3617,3610,3481
5684,5815,5653,4951,5064,4951,4586,4576,4526,4242,4183,4204,3937,3965,3817
5645,5768,5588,4995,4920,4929,4448,4525,4521,4208,4179,4111,3921,3914,3802
5852,6026,5839,5074,5202,5078,4608,4773,4675,4404,4379,4314,4008,4055,3946
5269,5376,5214,4583,4619,4580,4195,4251,4224,3951,3935,3952,3621,3631,3573
4954,5038,4961,4342,4368,4339,3940,4069,4031,3829,3707,3649,3403,3478,3392
4155,4214,4174,3591,3743,3671,3286,3321,3345,3135,3085,3065,2892,2867,2828
5248,5401,5235,4611,4721,4603,4209,4271,4266,4026,3927,3895,3576,3722,3633
4815,4958,4819,4215,4314,4235,3807,3966,3914,3708,3634,3538,3428,3372,3260
5575,5674,5601,4922,4982,4896,4436,4530,4531,4218,4255,4113,3891,3916,3833
5733,5895,5793,5061,5181,5099,4545,4708,4703,4353,4304,4239,3998,4027,3978
5405,5501,5396,4730,4827,4805,4304,4421,4393,4070,4051,4014,3727,3712,3629
5658,5756,5683,4930,5088,4936,4513,4582,4594,4347,4283,4170,3912,3962,3865
6158,6347,6142,5372,5513,5382,4883,5029,5020,4680,4620,4601,4270,4396,4187
6087,6242,6106,5318,5457,5373,4895,4934,4991,4725,4588,4495,4230,4303,4157
6306,6451,6368,5565,5669,5585,5013,5163,5191,4825,4733,4663,4403,4457,4343
5701,5868,5744,4985,5110,5063,4500,4673,4601,4363,4302,4171,3950,4004,3884
5380,5505,5431,4692,4886,4717,4285,4450,4397,4201,4002,3993,3744,3820,3698
4467,4628,4546,3976,4038,3934,3670,3671,3684,3511,3357,3301,3084,3139,2988
5716,5806,5721,5055,5112,5040,4607,4674,4709,4460,4298,4245,3942,4032,3891
5168,5408,5252,4665,4685,4602,4274,4297,4345,4067,3926,3912,3644,3641,3552
6026,6176,6099,5361,5401,5326,4838,4988,4981,4658,4609,4504,4254,4245,4118
6303,6371,6361,5590,5628,5516,5037,5147,5132,4861,4718,4613,4333,4432,4268
5847,5980,5887,5165,5205,5147,4745,4840,4862,4517,4376,4328,4100,4089,4044
6073,6325,6207,5362,5518,5400,4948,5042,5044,4769,4625,4509,4225,4295,4220
6641,6831,6720,5949,6056,5887,5403,5474,5534,5188,5030,4913,4641,4704,4565
6575,6733,6680,5831,5955,5843,5294,5438,5474,5082,4979,4894,4598,4604,4560
6883,7004,6953,6053,6167,6019,5595,5667,5677,5343,5231,5062,4742,4755,4682
6179,6336,6235,5491,5579,5449,5022,5048,5105,4803,4670,4512,4257,4345,4207
5802,6087,5875,5227,5240,5107,4779,4774,4813,4490,4472,4312,4002,4137,3957
4849,4989,4921,4269,4390,4264,3978,3989,4037,3765,3690,3569,3376,3445,3323
6179,6412,6202,5543,5618,5476,5053,5098,5095,4793,4653,4592,4307,4402,4249
5624,5887,5726,5092,5129,4956,4622,4715,4711,4353,4300,4210,3933,4034,3862
6587,6855,6638,5825,5848,5778,5374,5419,5448,5102,5039,4866,4557,4655,4463
6799,7001,6779,6104,6067,5952,5593,5650,5652,5275,5170,5019,4706,4866,4676
6353,6615,6346,5679,5684,5571,5208,5223,5267,4976,4800,4711,4362,4455,4380
6600,6890,6621,5923,5972,5871,5425,5498,5482,5182,5042,4941,4600,4690,4561
7265,7479,7274,6488,6523,6363,5948,5958,6042,5596,5537,5338,5024,5136,4941
7107,7445,7229,6471,6419,6293,5778,5986,5940,5625,5471,5358,4971,5037,4864
7464,7747,7553,6675,6714,6513,6142,6133,6191,5838,5675,5534,5190,5293,5067
6767,6949,6759,6010,6015,5920,5445,5561,5545,5238,5103,4984,4660,4818,4598
6316,6593,6401,5679,5607,5656,5169,5225,5298,4968,4795,4702,4348,4510,4363
5304,5482,5320,4735,4687,4682,4296,4377,4360,4102,3951,3936,3649,3746,3625
6788,6938,6780,6123,6055,5978,5513,5608,5531,5286,5146,5009,4626,4776,4577
6195,6443,6232,5578,5481,5455,4988,5150,5114,4749,4729,4595,4258,4359,4258
7143,7398,7180,6434,6394,6346,5852,5861,5911,5528,5386,5300,4882,5050,4932
7376,7732,7384,6689,6542,6547,5996,6116,6071,5766,5654,5456,5050,5225,5094
6919,7184,6943,6263,6222,6150,5574,5749,5743,5334,5243,5067,4757,4907,4737
7187,7503,7282,6504,6441,6359,5877,5923,6011,5594,5530,5339,4971,5098,4930
7890,8188,7957,7091,7032,6983,6351,6520,6579,6119,5988,5920,5439,5600,5335
7765,8087,7799,7014,6962,6918,6356,6444,6443,6095,5930,5765,5375,5573,5353
8136,8413,8165,7352,7265,7188,6605,6725,6699,6268,6184,5962,5604,5771,5604
7300,7591,7350,6620,6477,6462,5988,6018,6060,5698,5531,5441,5061,5174,5044
6826,7085,6943,6199,6209,6135,5632,5782,5764,5326,5199,5161,4794,4906,4768
5698,5945,5748,5212,5108,5088,4682,4760,4731,4402,4350,4289,3971,4018,3983
7313,7569,7361,6560,6560,6560,5935,6116,6087,5698,5556,5441,5121,5146,5086
6637,6900,6722,5990,5954,5928,5434,5634,5562,5187,5072,5053,4700,4696,4652
7734,8041,7819,6926,6918,6900,6294,6455,6469,5989,5899,5754,5361,5474,5397
8030,8296,8116,7262,7208,7164,6581,6681,6696,6144,6068,6014,5571,5682,5536
7416,7765,7524,6761,6664,6728,6100,6229,6212,5818,5707,5622,5202,5324,5172
7821,8123,7925,7057,7052,6993,6388,6509,6481,6146,5908,5835,5442,5541,5400
8525,8808,8605,7702,7648,7607,6979,7108,7102,6690,6487,6423,5987,6032,5934
8453,8725,8508,7580,7531,7602,6884,7018,6994,6558,6475,6308,5895,5984,5883
8744,9129,8884,8004,7881,7816,7155,7349,7367,6828,6654,6588,6139,6204,6118
7863,8214,7967,7142,7105,7008,6441,6590,6580,6175,5995,5929,5472,5669,5544
