Yard_1,Yard_2,Yard_3,Yard_4,Yard_5,Yard_6,Yard_7,Yard_8,Yard_9,Yard_10
4440,4476,3912,3867,3499,3455,3213,3240,3041,3054
4797,4893,4251,4184,3817,3862,3566,3558,3273,3311
4741,4800,4234,4146,3798,3734,3519,3594,3243,3231
4987,5040,4394,4351,3965,3945,3631,3649,3366,3427
4429,4530,3944,3908,3506,3568,3268,3317,3041,3093
4169,4257,3737,3615,3382,3296,3145,3209,2861,2923
3506,3578,3107,3070,2833,2747,2614,2663,2409,2508
4450,4517,3995,3880,3590,3509,3304,3342,3086,3120
4045,4150,3576,3588,3234,3214,3004,3146,2805,2788
4717,4799,4193,4112,3768,3721,3522,3594,3228,3312
4913,4980,4315,4222,3927,3904,3632,3677,3299,3413
4545,4719,4091,3945,3618,3656,3409,3368,3086,3216
4806,4812,4190,4183,3848,3766,3560,3674,3256,3347
5109,5326,4568,4565,4163,4098,3891,3888,3540,3622
5159,5202,4528,4484,4116,4095,3803,3840,3516,3552
5350,5455,4672,4718,4321,4234,4018,4082,3670,3732
4804,4955,4246,4179,3883,3844,3587,3719,3317,3339
4585,4722,3970,4082,3699,3685,3370,3457,3085,3189
3799,3900,3367,3284,3011,3040,2864,2881,2597,2609
4834,4992,4303,4251,3863,3821,3562,3649,3254,3406
4396,4517,3954,3884,3528,3527,3278,3360,3068,3143
5119,5347,4566,4494,4067,4067,3758,3871,3550,3573
5340,5510,4743,4688,4310,4235,3902,4026,3639,3678
4961,5136,4410,4391,3939,3955,3678,3744,3437,3475
5188,5360,4592,4586,4139,4157,3866,3892,3544,3673
5684,5815,5007,4951,4578,4470,4265,4247,3875,3912
5645,5768,4949,4995,4439,4452,4130,4200,3877,3882
5852,6026,5173,5074,4701,4582,4277,4435,4004,4064
5269,5376,4614,4583,4168,4133,3897,3946,3621,3646
4954,5038,4394,4342,3939,3919,3658,3780,3456,3538
4155,4214,3701,3591,3386,3321,3051,3080,2866,2893
5248,5401,4631,4611,4265,4156,3910,3964,3654,3716
4815,4958,4266,4215,3896,3826,3533,3685,3354,3425
5575,5674,4961,4922,4498,4422,4118,4205,3882,3891
5733,5895,5131,5061,4681,4609,4217,4372,4032,4014
5405,5501,4778,4730,4360,4348,3997,4106,3766,3753
5658,5756,5036,4930,4599,4457,4192,4253,3938,4016
6158,6347,5436,5372,4980,4860,4533,4670,4305,4319
6087,6242,5407,5318,4930,4856,4548,4579,4283,4367
6306,6451,5641,5565,5120,5046,4652,4793,4453,4453
5701,5868,5089,4985,4616,4578,4176,4340,3938,4028
5380,5505,4814,4692,4419,4261,3976,4136,3765,3882
4467,4628,4031,3976,3649,3554,3412,3409,3157,3245
5716,5806,5064,5055,4615,4555,4277,4339,4036,4120
5168,5408,4650,4665,4230,4158,3973,3991,3728,3757
6026,6176,5403,5361,4874,4812,4489,4633,4268,4298
6303,6371,5641,5590,5083,4984,4676,4780,4394,4489
5847,5980,5215,5165,4697,4651,4408,4497,4173,4169
6073,6325,5503,5362,4985,4880,4595,4682,4322,4405
6641,6831,5952,5949,5476,5320,5018,5082,4747,4792
6575,6733,5920,5831,5381,5282,4913,5050,4695,4690
6883,7004,6162,6053,5569,5434,5198,5263,4866,4934
6179,6336,5523,5491,5040,4923,4665,4684,4375,4435
5802,6087,5206,5227,4734,4612,4439,4430,4123,4142
4849,4989,4363,4269,3968,3852,3694,3702,3462,3475
6179,6412,5490,5543,5079,4949,4691,4732,4361,4423
5624,5887,5074,5092,4636,4474,4290,4380,4039,4014
6587,6855,5883,5825,5277,5220,4990,5031,4670,4710
6799,7001,5998,6104,5476,5375,5196,5250,4847,4869
6353,6615,5617,5679,5132,5032,4837,4848,4515,4597
6600,6890,5857,5923,5394,5306,5037,5106,4694,4785
7265,7479,6442,6488,5893,5747,5525,5531,5184,5163
7107,7445,6405,6471,5795,5684,5359,5563,5090,5196
7464,7747,6695,6675,6065,5878,5706,5692,5307,5391
6767,6949,5987,6010,5431,5350,5052,5164,4749,4837
6316,6593,5673,5679,5060,5113,4801,4851,4546,4588
5304,5482,4713,4735,4231,4229,3989,4065,3733,3786
6788,6938,6005,6123,5473,5401,5121,5210,4731,4882
6195,6443,5523,5578,4948,4926,4629,4786,4382,4379
7143,7398,6359,6434,5777,5734,5437,5439,5063,5100
7376,7732,6534,6689,5904,5914,5566,5680,5194,5323
6919,7184,6150,6263,5626,5559,5173,5342,4924,4920
7187,7503,6451,6504,5816,5739,5457,5497,5153,5161
7890,8188,7052,7091,6352,6307,5893,6055,5644,5648
7765,8087,6903,7014,6289,6249,5902,5983,5518,5628
8136,8413,7232,7352,6564,6491,6132,6245,5735,5782
7300,7591,6509,6620,5845,5835,5563,5586,5193,5260
6826,7085,6151,6199,5616,5541,5233,5373,4950,4915
5698,5945,5088,5212,4613,4593,4349,4419,4053,4060
7313,7569,6518,6560,5929,5928,5510,5680,5221,5261
6637,6900,5951,5990,5376,5350,5045,5235,4769,4787
7734,8041,6925,6926,6248,6231,5844,5993,5551,5526
8030,8296,7192,7262,6515,6472,6115,6203,5746,5664
7416,7765,6661,6761,6017,6081,5665,5782,5325,5371
7821,8123,7021,7057,6375,6316,5933,6042,5552,5677
8525,8808,7619,7702,6910,6870,6483,6599,6089,6180
8453,8725,7533,7580,6800,6872,6393,6514,5992,6053
8744,9129,7868,8004,7120,7056,6644,6824,6323,6301
7863,8214,7053,7142,6420,6323,5980,6118,5641,5702
